doi,title,abstract
10.14210/contrapontos.v16n2.p321-350,THE INTERNATIONALIZATION OF THE REGGIO EMILIA PHILOSOPHY,"This article presents the history and framework of the Reggio Emilia philosophy, an educational approach to early childhood education that places children as the main participants and protagonists of the curriculum. It also showcases the growing influence of the Reggio Emilia philosophy around the world, through key regional and national organizations. The association of the Emilia fundamental values of the Reggio Emilia with the globally competent soft skills helps this philosophy to overcome the growing need worldwide. Ultimately, the internationalization of this approach has inspired teaching practices all over the world. Within different nations, organizations that advocate the application of Reggio Emilia principles in various schools has grown, prompting a need to educate children to that they will develop emotionally and cognitively, in making thinking visible."
10.1093/oxfordhb/9780199742844.013.003,Naturalism and Skepticism in the Philosophy of Hume,"Hume takes his “naturalistic” study of human nature to show that certain general “principles of the imagination” can explain how human beings come to think, feel, believe, and act in all the ways they do independently of the truth or reasonableness of those responses. This appears to leave the reflective philosopher with no reason for assenting to what he has discovered he cannot help believing anyway. Relief from this unacceptably extreme skepticism is found in acknowledging and acquiescing in those forces of “nature” that inevitably overcome the apparent dictates of “reason” and return the philosopher to the responses and beliefs of everyday life. Living in full recognition of these forces and limitations is what Hume means by the “mitigated scepticism” he accepts."
10.1093/oxfordhb/9780199642342.013.039,Philosophy of Number,"There are many kinds of number. This chapter concentrates on finite cardinal numbers, as they have a basic role in our thinking. Numbers cannot be seen, heard, touched, tasted, or smelled; they do not emit or reflect signals; they leave no traces. So what kind of thing are they? How can we have knowledge of them? The aim of this chapter is to present and assess the main answers to these questions – classical and neo-classical, nominalism, mentalism, fictionalism, logicism, and the set-size view. All views are disputed, including the view I will argue for, the set-size view. The final section relates the finite cardinal numbers to the natural numbers."
10.1093/oxfordhb/9780199742844.013.25,The Nature and Functions of Sympathy in Hume’s Philosophy,"This chapter outlines key details of Hume’s account of sympathy, which play an important role not only in his ethics and his social philosophy, but also in his cognitive psychology and, consequently, in his epistemology as well as his philosophy of religion. The presentation of Hume’s account is threefold. The first section of the paper elucidates the nature of sympathy, drawing on some of the more recent ways in which Hume’s commentators have attempted to resolve the interpretive puzzles Hume’s works present. The second section explicates some of the functions sympathy has in Hume’s philosophy, including not only three that have been particularly prominent in the secondary literature, but also two others that have received considerably less attention. The final section summarizes Hume’s account of the nature and functions of sympathy and briefly suggests some of the ways in which these aspects of Hume’s moral psychology seem to be supported by contemporary psychological research."
10.5380/rel.v17i0.19787,"LITERATURE AS REFERENCE FOR A PHILOSOPHY OF MAN-AND-TIME, AS GIVEN IN LATIN-AMERICA","LITERATURE AS REFERENCE FOR A PHILOSOPHY OF MAN-AND-TIME, AS GIVEN IN LATIN-AMERICA"
10.5380/rel.v15i0.19841,SEMANTICS AND PHILOSOPHY,SEMANTICS AND PHILOSOPHY
10.1590/0104-07072014000340013,Humanization of health care: a reflexive theoretical essay based on the philosophy of Emmanuel Lévinas,"the humanization term has been frequent in health area. Although we don't see this term support in any theory or philosophy what it makes difficult to discuss the humanization in a scientific level. This philosophical essay aims to reflect about the term humanization proposing a concept based in Emmanuel Lévinas philosophy. We propose the ""relation I-other as an on the care act"" concept. The choice for the levinasian philosophy to fundament the concept is because the health careers finality and complexity that involves the careers knowledge's and makes. In the relation I-another proposed by Lévinas the other appear as an absolute otherness and the I as a passive subjectivity. Despite their relation they continue completely separated: the other requires cares and the I answers it the requests. The I-health professional answer becomes human because was affected by the otherness in the same time expresses the unknowable and supplicates for justice."
10.15517/aie.v9i3.9502,Percepciones y creencias sobre el estudio de la Filosofía de los estudiantes de la Educación Diversificada en Costa Rica / Perceptions and beliefs on the philosophy curriculum among costa rican Senior High School students,"&lt;p&gt;En 1998 se inicia el desarrollo de la investigación: ""Situación de la enseñanza de la filosofía en la Educación Diversificada de Costa Rica"", N° 743-99-298, en el Instituto de Investigaciones Filosóficas (INIF) de la Universidad de Costa Rica (UCR). El estudio se basó en una encuesta preparada para evaluar la enseñanza de la filosofía, a partir de la opinión y creencia de los estudiantes de la educación diversificada en Costa Rica que, en efecto, reciben filosofía. La encuesta evalúa cinco componentes: (a) Conocimiento del programa y objetivos del curso; (b) Percepción de la clase de filosofía; (c) Conocimiento de temas y autores; (d) Mediación pedagógica del personal docente y (e) Actitud hacia la filosofía. Para llevarla a cabo, esta encuesta se aplicó en el año 2002; se escogieron once regiones educativas del país y del total de regiones se entrevistaron a 543 estudiantes. En este trabajo se describen y analizan los principales resultados de esa encuesta.&lt;/p&gt;&lt;p&gt; &lt;/p&gt;&lt;p&gt;A research project on the teaching of philosophy in Costa Rica's senior high schools was began in 1998. It was registered at the Institute for Research in Philosophy, University of Costa Rica, as Project #743-99-298. The study is an evaluation of the teaching of philosophy, from the opinion and believes of the student in Costa Rica’s senior high schools. The survey evaluates five components:(a) Knowledge of the program and objectives of the course. (b) Perception of the philosophy classes. (c) Knowledge of topics and authors. (d) Pedagogic Mediation of the educational personnel and (e) Attitude toward the philosophy. The survey was applied in the year 2002. It is realized in eleven country’s educative regions. They interviewed to 543 students. In this paper the main results of the survey are described and analyzed.&lt;/p&gt;"
10.1515/sats-2014-0012,Reinstating Reflection: The Dialectic of Conscience within Hegel’s Philosophy of Right,"AbstractAlthough it is now widely acknowledged that Hegel’s political philosophy is based freedom, there is still divided opinion regarding the role of conscience within Hegel’s"
10.11649/sm.2014.012,Experiencing historical time: Apocalypse and authoritarianism in inter-war Bulgarian existential philosophy,"Experiencing historical time: Apocalypse and authoritarianism in inter-war Bulgarian existential philosophyThis article deals with the sense of the pace of time as reflected in the works of Bulgarian philosophers from the “philosophy of life” school, and of other thinkers active in the humanities. It is shown that the feeling of “condensed” time among the authors of the inter-war period is inevitably associated with Biblical imagery – the “reduction” of time foresees the end of time. Several authors left a lasting mark on Bulgarian intellectual history due to their sensitivity to the sharp turns of the age, and their awareness of the intense “flow” of time.The most prominent among tchem were Spiridon Kazandjiev and Yanko Yanev, authors with right-wing political leanings. This article reveals how the end of time provoked in them not only distress and anxiety but also exhilaration at what lay ahead, as if it were the realisation of a longcherished dream. Doświadczanie czasu historycznego. Apokalipsa i autorytaryzm w bułgarskiej filozofii egzystencjalnej okresu międzywojennegoNiniejszy artykuł poświęcony jest doświadczeniu tempa czasu, odzwierciedlonemu w twórczości bułgarskich filozofów sytuujących się w nurcie „filozofii życia” w najszerszym ze znaczeń, jak również innych myślicieli. Zostaje w nim pokazane, jak poczucie czasu „skon­densowanego” u autorów okresu międzywojennego nieodzownie kojarzone jest z obrazami biblijnymi – czas „zredukowany” zapowiada zbliżający się koniec.Myśliciele, którzy pozostawiają trwałe ślady w bułgarskiej historii intelektualistów właśnie w powodu swej wrażliwości na gwałtowne zwroty w czasie, na intensywność jego upływu, to m.in. Spirydon Kazandżijew [Спиридон Казанджиев], Janko Janew [Янко Янев], Najden Szejtanow [Найден Шейтанов] – autorzy o orientacji prawicowej. Artykuł ukazuje, jak „koniec czasów” budzi u nich nie tylko udrękę i niepokój, ale i podekscytowanie z powodu tego, co nadchodzi – pojmowanego jako urzeczywistnienie długo pielęgnowanego marzenia."
