item,itemLabel
http://www.wikidata.org/entity/Q185,Larry Sanger
http://www.wikidata.org/entity/Q307,Galileo Galilei
http://www.wikidata.org/entity/Q651,Friedrich Theodor Vischer
http://www.wikidata.org/entity/Q859,Plato
http://www.wikidata.org/entity/Q868,Aristotle
http://www.wikidata.org/entity/Q913,Socrates
http://www.wikidata.org/entity/Q1001,Mahatma Gandhi
http://www.wikidata.org/entity/Q1325,Friedrich Hayek
http://www.wikidata.org/entity/Q1394,Vladimir Lenin
http://www.wikidata.org/entity/Q1399,Niccolò Machiavelli
http://www.wikidata.org/entity/Q1401,Petrarch
http://www.wikidata.org/entity/Q1430,Marcus Aurelius
http://www.wikidata.org/entity/Q1541,Cicero
http://www.wikidata.org/entity/Q4295,Peter Abelard
http://www.wikidata.org/entity/Q4604,Confucius
http://www.wikidata.org/entity/Q5749,Pierre-Joseph Proudhon
http://www.wikidata.org/entity/Q5752,Peter Kropotkin
http://www.wikidata.org/entity/Q6512,Søren Kierkegaard
http://www.wikidata.org/entity/Q6530,Stanisław Lem
http://www.wikidata.org/entity/Q7104,Baron d'Holbach
http://www.wikidata.org/entity/Q7197,Simone de Beauvoir
http://www.wikidata.org/entity/Q7243,Leo Tolstoy
http://www.wikidata.org/entity/Q7286,Émilie du Châtelet
http://www.wikidata.org/entity/Q8011,Avicenna
http://www.wikidata.org/entity/Q8018,Augustine of Hippo
http://www.wikidata.org/entity/Q9061,Karl Marx
http://www.wikidata.org/entity/Q9068,Voltaire
http://www.wikidata.org/entity/Q9191,René Descartes
http://www.wikidata.org/entity/Q9235,Georg Wilhelm Friedrich Hegel
http://www.wikidata.org/entity/Q9333,Laozi
http://www.wikidata.org/entity/Q9353,John Locke
http://www.wikidata.org/entity/Q9358,Friedrich Nietzsche
http://www.wikidata.org/entity/Q9364,Jean-Paul Sartre
http://www.wikidata.org/entity/Q9391,Ludwig Wittgenstein
http://www.wikidata.org/entity/Q9397,Zhu Xi
http://www.wikidata.org/entity/Q9438,Thomas Aquinas
http://www.wikidata.org/entity/Q9441,Gautama Buddha
http://www.wikidata.org/entity/Q11826,Al-Biruni
http://www.wikidata.org/entity/Q11903,Hypatia
http://www.wikidata.org/entity/Q12054,Bernard Werber
http://www.wikidata.org/entity/Q12688,Jean Jaurès
http://www.wikidata.org/entity/Q12696,Nitobe Inazō
http://www.wikidata.org/entity/Q12718,Auguste Comte
http://www.wikidata.org/entity/Q13021,Vinoba Bhave
http://www.wikidata.org/entity/Q15975,Montesquieu
http://www.wikidata.org/entity/Q18999,Junius Rusticus
http://www.wikidata.org/entity/Q26168,Anton LaVey
http://www.wikidata.org/entity/Q27645,Mikhail Bakunin
http://www.wikidata.org/entity/Q27684,Peter Forsskål
http://www.wikidata.org/entity/Q28959,Han Fei Zi
http://www.wikidata.org/entity/Q29049,Kanada
http://www.wikidata.org/entity/Q31765,Fan Zhen
http://www.wikidata.org/entity/Q32520,Augustine of Canterbury
http://www.wikidata.org/entity/Q34670,Albert Camus
http://www.wikidata.org/entity/Q34787,Friedrich Engels
http://www.wikidata.org/entity/Q35802,Baruch Spinoza
http://www.wikidata.org/entity/Q36303,Thales
http://www.wikidata.org/entity/Q36330,Giordano Bruno
http://www.wikidata.org/entity/Q37151,Sun Tzu
http://www.wikidata.org/entity/Q37160,David Hume
http://www.wikidata.org/entity/Q37388,Francis Bacon
http://www.wikidata.org/entity/Q37621,Thomas Hobbes
http://www.wikidata.org/entity/Q39837,Averroes
http://www.wikidata.org/entity/Q41155,Heraclitus
http://www.wikidata.org/entity/Q41568,Michel de Montaigne
http://www.wikidata.org/entity/Q41980,Democritus
http://www.wikidata.org/entity/Q42156,Henri Bergson
http://www.wikidata.org/entity/Q42458,Anaximander
http://www.wikidata.org/entity/Q43216,Epicurus
http://www.wikidata.org/entity/Q43347,Rumi
http://www.wikidata.org/entity/Q43393,Robert Boyle
http://www.wikidata.org/entity/Q43746,Bonaventure
http://www.wikidata.org/entity/Q43939,Anselm of Canterbury
http://www.wikidata.org/entity/Q44272,Michel Foucault
http://www.wikidata.org/entity/Q44845,Peter Sloterdijk
http://www.wikidata.org/entity/Q45321,Harald Lesch
http://www.wikidata.org/entity/Q45723,Jacques Maritain
http://www.wikidata.org/entity/Q47154,Lucretius
http://www.wikidata.org/entity/Q47478,Swami Vivekananda
http://www.wikidata.org/entity/Q47667,Hu Shih
http://www.wikidata.org/entity/Q47737,Kahlil Gibran
http://www.wikidata.org/entity/Q47739,Zhuangzi
http://www.wikidata.org/entity/Q48226,Ralph Waldo Emerson
http://www.wikidata.org/entity/Q48301,Martin Heidegger
http://www.wikidata.org/entity/Q49325,Albert Schweitzer
http://www.wikidata.org/entity/Q49747,Maurice Maeterlinck
http://www.wikidata.org/entity/Q51884,John of Damascus
http://www.wikidata.org/entity/Q54828,Ivan Yefremov
http://www.wikidata.org/entity/Q55704,Kedar Joshi
http://www.wikidata.org/entity/Q57085,Erich Fromm
http://www.wikidata.org/entity/Q57193,Moritz Schlick
http://www.wikidata.org/entity/Q57196,Franz Brentano
http://www.wikidata.org/entity/Q58586,Edmund Husserl
http://www.wikidata.org/entity/Q59137,Diogenes of Oenoanda
http://www.wikidata.org/entity/Q59138,Diogenes Laërtius
http://www.wikidata.org/entity/Q59180,Diogenes of Sinope
http://www.wikidata.org/entity/Q60028,Gottlob Frege
http://www.wikidata.org/entity/Q60030,Herbert Marcuse
http://www.wikidata.org/entity/Q60059,Albertus Magnus
http://www.wikidata.org/entity/Q60080,Wilhelm Dilthey
http://www.wikidata.org/entity/Q15953,Fritz Mauthner
http://www.wikidata.org/entity/Q15969,Jean Améry
http://www.wikidata.org/entity/Q15975,Montesquieu
http://www.wikidata.org/entity/Q16381,Virchand Gandhi
http://www.wikidata.org/entity/Q16382,Shrimad Rajchandra
http://www.wikidata.org/entity/Q16397,Bruce Lee
http://www.wikidata.org/entity/Q18436,Émile Boirac
http://www.wikidata.org/entity/Q18809,Anatoly Lunacharsky
http://www.wikidata.org/entity/Q18999,Junius Rusticus
http://www.wikidata.org/entity/Q19008,Arthur Balfour
http://www.wikidata.org/entity/Q19074,Samuel P. Huntington
http://www.wikidata.org/entity/Q19796,Cai Yuanpei
http://www.wikidata.org/entity/Q20724,Louis Couturat
http://www.wikidata.org/entity/Q21163,Ferdinand Tönnies
http://www.wikidata.org/entity/Q22530,Auguste Forel
http://www.wikidata.org/entity/Q22670,Friedrich Schiller
http://www.wikidata.org/entity/Q23431,C. Anthony Anderson
http://www.wikidata.org/entity/Q23437,William Hirstein
http://www.wikidata.org/entity/Q23446,Quentin Smith
http://www.wikidata.org/entity/Q23450,Kit Fine
http://www.wikidata.org/entity/Q24085,Petrus Cunaeus
http://www.wikidata.org/entity/Q24652,Joseph Gredt
http://www.wikidata.org/entity/Q25070,Henry of Latvia
http://www.wikidata.org/entity/Q25120,Pier Paolo Pasolini
http://www.wikidata.org/entity/Q25973,Hermann Hesse
http://www.wikidata.org/entity/Q26648,John Argyropoulos
http://www.wikidata.org/entity/Q26714,Paul Deussen
http://www.wikidata.org/entity/Q27645,Mikhail Bakunin
http://www.wikidata.org/entity/Q27913,Friedrich Paulsen
http://www.wikidata.org/entity/Q28761,Alfred of Sareshel
http://www.wikidata.org/entity/Q28918,Luce Irigaray
http://www.wikidata.org/entity/Q28959,Han Fei Zi
http://www.wikidata.org/entity/Q29049,Kanada
http://www.wikidata.org/entity/Q29438,Hervaeus Natalis
http://www.wikidata.org/entity/Q31439,Abraham bar Hiyya
http://www.wikidata.org/entity/Q31754,Huang Zongxi
http://www.wikidata.org/entity/Q31765,Fan Zhen
http://www.wikidata.org/entity/Q31814,Léon Denis
http://www.wikidata.org/entity/Q31845,Arrian
http://www.wikidata.org/entity/Q32679,Ralph Barton Perry
http://www.wikidata.org/entity/Q33391,Leon Trotsky
http://www.wikidata.org/entity/Q33760,Bertrand Russell
http://www.wikidata.org/entity/Q33941,Julian
http://www.wikidata.org/entity/Q34601,Chilon of Sparta
http://www.wikidata.org/entity/Q34628,Gotthold Ephraim Lessing
